address,category_name,city,local_guid,likes_count,name,permanently_closed,publish_at,published_at_date,reviewer_number_of_reviews,reviews_count,reviews_distb_fivestar,reviews_distb_fourstar,reviews_distb_onestar,reviews_distb_threestar,reviews_distb_twostar,stars,temporarily_closed,text,title,total_score
"Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt, Civil Lines Karachi, Karachi City, Sindh, Pakistan             Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt? ??? ????? ?????, ??? ?????, ????",Restaurant,Karachi,TRUE,1,Farhan Q,FALSE,4 years ago,2018-01-10T14:41:50.189Z,430,433,210,114,25,62,22,2,FALSE,Al Bustan used to be a great place in it's earlier days bit for some reason it's lost its flair. They are a buffet and also do hi tea. Though the quality and taste of food us regressing day by day. It could use a facelift. A good place for groups or gatherings. No separate kids menu here. Not really satisfied. They used to be great and if they try they can come back to their original great standard.,Al Bustan Restaurant,4.1
"Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt, Civil Lines Karachi, Karachi City, Sindh, Pakistan             Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt? ??? ????? ?????, ??? ?????, ????",Restaurant,Karachi,TRUE,0,Asif Khokhar,FALSE,4 years ago,2017-06-13T06:11:50.602Z,48,433,210,114,25,62,22,1,FALSE,"Under the roof of Karachi's one of the older, popular and bigger five star hotel, you expect some quality.
But the overall arrangements were very poor.
We went there for Iftaar Buffet. Seating arrangement were very congested and place looks very crowded.
At last, you expect the food quality to be good but that is the worst thing about Al-Bustan. Menu contain so many common dishes like sarson ka saag, nihari and etc.  and on top of that there is no taste at all for any food item. Not worth half of money you paid there..",Al Bustan Restaurant,4.1
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
